City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Mahebourg,MU,-20.41,57.70,67.24,81,22,11.59,light rain
83,Jamestown,US,42.10,-79.24,76.05,53,0,9.22,clear sky
84,Yar-Sale,RU,66.83,70.83,48.2,90,100,5.99,overcast clouds
85,Arraial Do Cabo,BR,-22.97,-42.03,70.99,86,0,16.89,clear sky
86,Aklavik,CA,68.22,-135.01,66.87,33,100,21.83,overcast clouds
87,San Miguel,SV,13.48,-88.18,89.2,62,20,5.75,few clouds
88,Airai,TL,-8.93,125.41,56.59,66,86,4.14,overcast clouds
89,Guerrero Negro,MX,27.98,-114.06,78.82,56,32,15.1,scattered clouds
90,Alofi,NU,-19.06,-169.92,78.69,61,75,16.11,broken clouds
91,Sekoma,BW,-24.40,23.88,59.54,42,23,12.97,few clouds
92,Katsuura,JP,35.13,140.30,81.39,85,77,14.67,broken clouds
93,Adrar,MR,20.50,-10.07,100.35,16,56,7.52,broken clouds
94,Touros,BR,-5.20,-35.46,74.98,83,30,11.72,scattered clouds
95,Kaliningrad,RU,54.71,20.51,62.96,81,83,6.85,broken clouds
96,Butaritari,KI,3.07,172.79,82.13,74,11,18.99,few clouds
97,Qasigiannguit,GL,68.82,-51.19,44.85,98,100,3.6,overcast clouds
98,Tasiilaq,GL,65.61,-37.64,41.16,93,100,3.13,overcast clouds
99,Bat Khela,PK,34.62,71.97,78.24,83,94,3.6,overcast clouds
100,Cabo San Lucas,MX,22.89,-109.91,94.6,54,20,14.97,few clouds
101,Henties Bay,NA,-22.12,14.28,53.49,87,16,7.34,few clouds
102,Port Blair,IN,11.67,92.75,78.84,89,40,1.14,mist
103,Tabou,CI,4.42,-7.35,75.33,80,99,12.66,overcast clouds
104,Bredasdorp,ZA,-34.53,20.04,50.67,94,80,5.86,broken clouds
105,San Policarpo,PH,12.18,125.51,80.02,85,96,5.3,overcast clouds
106,Micheweni,TZ,-4.97,39.83,74.07,81,93,14.54,overcast clouds
107,Richards Bay,ZA,-28.78,32.04,55.74,84,0,7.31,clear sky
108,Chapais,CA,49.78,-74.85,53.13,79,96,8.88,overcast clouds
109,Kuna,US,43.49,-116.42,100.51,14,0,10.36,clear sky
110,Bafoulabe,ML,13.81,-10.83,80.38,84,67,4.16,light rain
111,Saint-Augustin,CA,51.23,-58.65,64.42,70,75,23.13,broken clouds
112,Okmulgee,US,35.62,-95.96,106.84,25,0,14.97,clear sky
113,Plettenberg Bay,ZA,-34.05,23.37,57.51,61,78,10.45,broken clouds
114,Mackenzie,CA,55.30,-123.17,88.03,31,16,3.38,few clouds
115,Severo-Kurilsk,RU,50.68,156.12,55.0,81,96,5.66,overcast clouds
116,Maningrida,AU,-12.07,134.27,68.56,69,7,14.29,clear sky
117,Florianopolis,BR,-27.61,-48.50,63.63,82,0,4.61,clear sky
118,Carnarvon,AU,-24.87,113.63,61.66,43,13,8.08,few clouds
119,Morant Bay,JM,17.88,-76.41,80.64,82,100,11.1,moderate rain
120,Kasongo-Lunda,CD,-6.47,16.82,71.2,28,97,1.01,overcast clouds
121,Padang,ID,-0.95,100.35,75.25,84,93,3.04,overcast clouds
122,Lahij,YE,13.17,44.58,87.03,41,98,1.52,overcast clouds
123,Zeya,RU,53.75,127.27,76.21,61,0,3.18,clear sky
124,Dickinson,US,29.46,-95.05,95.09,62,20,11.5,few clouds
125,Prince Rupert,CA,54.32,-130.32,70.48,72,48,6.13,scattered clouds
126,Cervo,ES,43.67,-7.41,65.97,78,100,11.14,overcast clouds
127,Letterkenny,IE,54.95,-7.73,48.52,91,9,1.34,clear sky
128,Yellowknife,CA,62.46,-114.35,69.57,52,11,8.99,few clouds
129,Tadine,NC,-21.55,167.88,71.47,67,2,5.99,clear sky
130,Kabalo,CD,-6.05,26.92,76.33,39,73,4.07,broken clouds
131,Te Anau,NZ,-45.42,167.72,42.89,97,100,3.06,light rain
132,Marsa Matruh,EG,31.35,27.25,77.88,83,0,8.77,clear sky
133,Nelson Bay,AU,-32.72,152.15,54.09,65,4,17.0,clear sky
134,Port Keats,AU,-14.25,129.55,69.33,42,58,9.42,broken clouds
135,Sonoita,MX,31.85,-112.83,94.95,33,97,10.54,overcast clouds
136,Mezen,RU,65.85,44.24,56.88,82,80,7.0,broken clouds
137,Emmett,US,43.87,-116.50,101.64,17,0,9.78,clear sky
138,Grindavik,IS,63.84,-22.43,54.07,100,100,14.97,light intensity drizzle
139,Ternate,ID,0.80,127.40,80.47,80,98,3.31,overcast clouds
140,Valleyview,CA,55.07,-117.29,77.54,40,27,2.48,scattered clouds
141,Ferrol,ES,43.48,-8.24,66.27,84,25,1.99,scattered clouds
142,Goundam,ML,16.41,-3.67,97.68,15,48,3.44,scattered clouds
